rating, material, time_in_seconds
195, G2StoneTileVersion1test3, 24661.526341
192, G4CompressedWoodVersion1test2, 21.879957
185, G4ProfiledWoodPlatetrain9, 12.241605
155, G2Marbletest2, 14.991771
5, G9GreenVelvettest1, 14.73384
145, G4Larchtest4, 13.505682
169, G1ProfiledAluminumPlatetrain4, 33.349185
125, G4Bambootrain5, 10.360708
160, G2StoneTileVersion2train9, 21.573458
135, G2CrushedRocktest7, 37.814108
60, G8GlitterPaperVersion2train8, 10.620499
50, G3StainlessSteeltrain3, 14.695087
45, G3AluminumPlatetest1, 8.868159
166, G2StoneTileVersion2test1, 16.452364
60, G2CrushedRocktest6, 29.721245
123, G1ProfiledAluminumPlatetest1, 10.012764
112, G4CherryTreetest2, 19.194776
156, G4CompressedWoodVersion1test1, 21.845476
40, G9TextileVersion3train9, 8.655211
25, G6Carpettrain2, 19.330932
116, G4Larchtrain5, 39.024441
22, G8GlitterPaperVersion1test7, 15.223079
6, G6Toweltrain3, 13.286948
180, G2StoneTileVersion1train2, 20.489677
108, G4WoodenPapertrain6, 13.466046
97, G2StoneTileVersion3test5, 15.76211
3, G8GlitterPaperVersion1test1, 15.30971
135, G4Teaktest7, 14.650749
4, G9RedVelvettrain5, 11.432921
6, G8GlitterPaperVersion1train2, 36.058897
3, G6Toweltrain4, 11.909905
12, G9RedFleezetrain1, 12.033727
62, G2Marbletrain5, 8.308262
25, G3Coppertest7, 19.566609
140, G4CherryTreetest4, 11.295686
178, G4ProfiledWoodPlatetrain4, 15.525889
4, G9GreenVelvettrain5, 120.016269
185, G2StoneTileVersion1test1, 10.515455
177, G4CherryTreetrain4, 15.036976
187, G2StoneTileVersion1train7, 12.20096
8, G8Papertrain8, 24.699363
2, G9RedVelvettrain1, 10.015697
130, G4Teaktrain9, 20.542559
14, G8PlayingCardPapertrain5, 11.000663
45, G3StainlessSteeltest4, 17.32269
95, G2StoneTileVersion3train9, 13.976155
8, G9GreenVelvettrain8, 12.787895
187, G2CrushedRocktrain1, 18.188587
2, G8GlitterPaperVersion2train1, 10.212869
101, G4WoodenPapertrain7, 9.9774
85, G4Larchtrain2, 9.920068
58, G3AluminumPlatetrain6, 21.796499
33, G3StainlessSteeltrain4, 16.129019
105, G2Marbletest1, 37.16574
21, G9TableClothVersion2test6, 9.92462
25, G9TextileVersion3test5, 9.761393
173, G4CompressedWoodVersion1test3, 19.083445
180, G4ProfiledWoodPlatetrain2, 13.739022
155, G1ProfiledAluminumPlatetrain6, 39.150487
2, G3Brasstest4, 21.775545
10, G9Jeanstrain5, 19.474553
3, G9RedFleezetrain5, 13.827087
15, G9TextileVersion3train4, 8.454608
0, G9GreenVelvettest5, 11.890542
140, G4CherryTreetrain9, 12.255518
148, G4Larchtest3, 20.908624
8, G8RoughPapertest7, 22.140896
7, G8RoughPapertrain8, 14.25344
26, G6Carpettrain3, 16.711714
23, G9Jeanstrain8, 10.65236
88, G2StoneTileVersion3test2, 16.651602
9, G8PlayingCardPapertrain1, 23.32807
6, G9RedFleezetest1, 11.504259
187, G4ProfiledWoodPlatetest7, 12.237096
26, G8GlitterPaperVersion1train4, 18.452421
93, G2StoneTileVersion2test5, 10.227245
42, G3Coppertrain1, 11.614194
13, G8PlayingCardPapertrain8, 9.546505
77, G4LaminatedWoodtest1, 9.791843
62, G3AluminumPlatetrain2, 12.013163
14, G9GreenVelvettrain6, 21.873242
1, G9GreenVelvettest4, 13.317486
122, G4Teaktrain8, 8.067875
6, G8GlitterPaperVersion2test2, 21.039561
15, G8PlayingCardPapertrain7, 12.822358
14, G9Jeanstest2, 13.217673
35, G3Brasstrain8, 8.049056
19, G9TextileVersion4test5, 22.889014
29, G3Brasstrain4, 10.189144
21, G9TextileVersion4train5, 15.35763
22, G6Toweltrain1, 34.317874
130, G4CherryTreetest3, 14.578645
13, G9Jeanstest1, 31.880569
143, G4CompressedWoodVersion1test4, 10.764335
32, G3AluminumPlatetrain9, 9.560457
182, G4ProfiledWoodPlatetest2, 11.874297
4, G8RoughPapertrain6, 10.162707
102, G4LaminatedWoodtest7, 16.782701
14, G9Jeanstrain4, 12.305885
31, G8GlitterPaperVersion1train7, 14.448915
0, G8Papertest4, 20.666294
140, G1ProfiledAluminumPlatetest6, 13.25377
132, G4Larchtrain6, 15.751395
127, G4Larchtest7, 32.495708
27, G9TableClothVersion2train7, 16.253215
17, G9Jeanstrain2, 10.796028
19, G9TextileVersion4train8, 11.063967
55, G2Marbletrain8, 12.847431
172, G2CrushedRocktrain6, 25.470543
20, G9TableClothVersion2train1, 7.465251
22, G6Toweltrain8, 11.603707
9, G8GlitterPaperVersion2test1, 14.537697
192, G2StoneTileVersion1test5, 25.528161
2, G9GreenVelvettrain1, 19.061359
0, G9RedVelvettrain6, 12.654752
4, G9Jeanstest7, 18.494571
25, G3StainlessSteeltrain6, 11.114839
125, G4Teaktest2, 10.53797
200, G2CrushedRocktrain8, 11.12976
40, G2Marbletrain4, 46.185824
127, G4Teaktrain4, 28.133491
120, G4Larchtest5, 19.447057
153, G4CompressedWoodVersion1train8, 9.306054
178, G4ProfiledWoodPlatetrain3, 9.802163
88, G4WoodenPapertrain8, 17.84352
30, G3AluminumPlatetrain7, 7.967861
47, G4LaminatedWoodtrain7, 10.115249
152, G1ProfiledAluminumPlatetrain5, 12.823239
132, G4Bambootrain9, 11.942263
21, G3Brasstrain2, 8.736636
159, G2StoneTileVersion1train8, 28.121623
20, G6Toweltest2, 12.03001
145, G1ProfiledAluminumPlatetrain9, 8.503821
70, G4WoodenPapertrain9, 10.271282
1, G8Papertrain6, 9.38834
0, G9RedVelvettest4, 8.362309
19, G9TableClothVersion2train2, 8.726928
22, G3Coppertest1, 9.921342
2, G8Papertest3, 11.689909
107, G4Larchtest2, 15.667048
23, G9RedFleezetrain8, 10.201121
151, G2StoneTileVersion2test3, 14.609566
123, G4CherryTreetrain2, 11.513641
61, G4LaminatedWoodtrain9, 21.274203
23, G3Brasstrain7, 82.985063
25, G9Jeanstrain6, 12.984721
6, G8RoughPapertest5, 9.645236
164, G2StoneTileVersion2train8, 9.96536
155, G1ProfiledAluminumPlatetest2, 16.149444
8, G8GlitterPaperVersion1test6, 9.560918
164, G4CompressedWoodVersion1train2, 33.596279
25, G9Jeanstrain9, 6.8557
88, G4LaminatedWoodtest6, 9.18208
16, G8PlayingCardPapertest1, 12.995991
28, G6Carpettrain9, 10.167301
157, G4Larchtrain4, 21.313724
112, G4CherryTreetest5, 14.704183
22, G9RedFleezetrain6, 8.390149
179, G2StoneTileVersion1test6, 8.459506
79, G2Marbletest3, 12.946695
3, G8RoughPapertest4, 18.256843
20, G9TextileVersion4test3, 7.854751
188, G2Bricktrain1, 10.180485
22, G3Coppertest2, 37.754544
26, G6Carpettrain6, 13.540103
132, G2StoneTileVersion3train7, 8.642154
74, G4LaminatedWoodtrain4, 17.237091
200, G4ProfiledWoodPlatetrain6, 8.327328
145, G1ProfiledAluminumPlatetest7, 70.828365
87, G4Bambootest6, 11.111389
72, G2StoneTileVersion3train1, 18.315638
0, G9RedVelvettrain2, 7.025486
2, G8RoughPapertrain2, 9.688751
184, G4ProfiledWoodPlatetest4, 9.078817
172, G2StoneTileVersion2train3, 7.346551
23, G3Coppertrain7, 9.021971
20, G6Toweltrain5, 10.60761
71, G4Teaktest5, 14.003549
14, G9Jeanstest6, 14.631684
3, G8Papertrain7, 37.839401
20, G9RedFleezetest6, 9.845927
52, G2Marbletest6, 11.489451
9, G8Papertrain5, 8.935984
14, G8PlayingCardPapertest4, 11.000866
21, G9TextileVersion4train4, 12.142251
22, G9TableClothVersion2test7, 8.055293
25, G3Coppertrain9, 24.368953
22, G3Coppertest5, 13.373912
20, G6Toweltrain2, 11.780192
176, G2StoneTileVersion1train4, 13.908027
35, G3Brasstrain9, 7.721124
18, G9TableClothVersion2test2, 20.095196
101, G4WoodenPapertrain4, 11.75991
23, G3AluminumPlatetest6, 12.545003
152, G1ProfiledAluminumPlatetrain1, 7.151366
165, G2Bricktest5, 13.167613
143, G4Larchtrain7, 9.425404
88, G4LaminatedWoodtrain2, 15.938122
187, G2StoneTileVersion1test2, 7.225721
45, G2StoneTileVersion3train2, 206.224361
16, G9TableClothVersion2train6, 7.424565
123, G4Larchtrain3, 7.188036
40, G4WoodenPapertest4, 10.080853
112, G4CherryTreetest7, 16.521669
0, G9RedVelvettest6, 6.673306
5, G9TextileVersion4test7, 20.065383
30, G8GlitterPaperVersion2train9, 22.971421
55, G4LaminatedWoodtrain3, 8.346537
101, G4Bambootrain1, 24.63959
165, G2StoneTileVersion2train5, 8.048627
1, G9GreenVelvettest7, 14.784074
