rating, material, time_in_seconds
20, G8RoughPapertrain7, 37.020812
50, G9TextileVersion3train1, 28.16093
5, G3Brasstest2, 31.266415
75, G2StoneTileVersion1test2, 18.783654
6, G9RedFleezetrain8, 22.11516
0, G9RedFleezetest4, 36.066892
3, G8RoughPapertrain6, 17.008776
65, G2Marbletest5, 59.294309
30, G3AluminumPlatetest2, 69.360699
8, G3Brasstest4, 71.886511
0, G9RedFleezetrain5, 68.8172
20, G8GlitterPaperVersion2train8, 10.665849
50, G2Marbletest7, 19.937842
60, G4ProfiledWoodPlatetrain4, 50.318907
25, G2CrushedRocktrain5, 28.670215
50, G2Marbletest2, 6.671577
20, G4Teaktest6, 46.115068
15, G6Carpettrain7, 18.630327
2, G6Carpettest5, 17.683842
35, G2Bricktrain7, 30.132795
30, G4ProfiledWoodPlatetrain1, 17.869043
20, G2CrushedRocktest3, 228.241948
15, G9Jeanstrain1, 69.165609
55, G4CherryTreetrain1, 10.402654
40, G3StainlessSteeltrain6, 9.163409
25, G2Bricktest2, 48.108304
28, G4Bambootest2, 16.311027
40, G2StoneTileVersion2train9, 24.389447
22, G3AluminumPlatetrain1, 12.739119
80, G1ProfiledAluminumPlatetrain9, 23.572898
28, G4Teaktest1, 22.899084
10, G3Coppertrain2, 9.859988
1, G9Jeanstest1, 55.546875
6, G8GlitterPaperVersion1train8, 21.111532
65, G4CherryTreetest7, 22.97242
10, G3Coppertrain4, 10.874971
0, G9GreenVelvettest1, 12.979003
3, G9TextileVersion4train5, 30.260638
10, G4Larchtest1, 24.418386
3, G6Toweltrain6, 12.814727
20, G2CrushedRocktrain8, 69.485135
25, G4Teaktrain7, 6.796532
2, G9RedFleezetrain6, 13.160342
60, G4CompressedWoodVersion1test7, 12.498209
5, G9TableClothVersion2train2, 11.435753
50, G4Larchtest2, 12.706713
8, G9Jeanstrain6, 24.698269
5, G8Papertrain5, 21.708976
75, G2StoneTileVersion1train4, 17.533971
1, G8PlayingCardPapertrain6, 20.198248
30, G4Teaktest5, 10.371306
0, G8RoughPapertrain2, 16.648671
15, G2CrushedRocktrain1, 23.838475
2, G9RedFleezetrain9, 17.832592
6, G8GlitterPaperVersion2test1, 108.550405
2, G9RedFleezetrain2, 11.933601
5, G2CrushedRocktest7, 24.43733
8, G9TextileVersion3train5, 28.274
35, G2Marbletest1, 25.011934
5, G8GlitterPaperVersion1test7, 11.65903
0, G9GreenVelvettrain3, 12.112913
3, G9TextileVersion4train3, 17.509722
30, G4WoodenPapertest6, 10.880046
2, G9RedVelvettrain3, 17.287552
4, G8GlitterPaperVersion2test5, 12.866002
