rating, material, time_in_seconds
25, G3Brasstrain6, 11.916936
45, G4Larchtrain6, 10.964552
20, G8GlitterPaperVersion1test3, 7.299619
48, G2Bricktrain9, 12.581535
15, G2StoneTileVersion3test5, 8.933387
12, G2Marbletrain9, 11.520697
25, G4WoodenPapertest1, 10.760702
3, G8PlayingCardPapertrain4, 10.319309
22, G9TextileVersion3train8, 15.807996
50, G4Larchtrain9, 7.315036
55, G2StoneTileVersion1test6, 7.311208
52, G4CompressedWoodVersion1train8, 10.871305
50, G4Larchtest6, 7.914122
45, G4Teaktrain3, 8.956831
40, G8GlitterPaperVersion1train8, 20.637569
60, G2CrushedRocktrain3, 12.433408
30, G4CherryTreetrain3, 11.238033
25, G4WoodenPapertrain4, 5.862266
20, G9TableClothVersion2train1, 6.802348
22, G9TextileVersion4train9, 15.503266
33, G6Carpettrain9, 11.212815
22, G3Coppertrain9, 7.082215
35, G1ProfiledAluminumPlatetrain8, 14.738035
33, G6Carpettest1, 6.907228
20, G3Coppertrain6, 8.378637
23, G4Bambootrain3, 19.346076
33, G6Carpettrain3, 5.615976
10, G3AluminumPlatetest4, 6.88074
25, G4WoodenPapertrain9, 6.050215
8, G3AluminumPlatetest6, 10.11717
40, G4ProfiledWoodPlatetrain2, 7.910969
25, G4WoodenPapertrain1, 9.896458
3, G8PlayingCardPapertest1, 9.444405
5, G8GlitterPaperVersion2train6, 15.097871
50, G2StoneTileVersion1train8, 8.71077
4, G4Bambootest7, 15.482133
1, G9RedVelvettest2, 12.412922
15, G9Jeanstrain5, 9.156362
62, G2StoneTileVersion1train1, 8.175079
45, G2StoneTileVersion2train3, 7.385502
12, G3AluminumPlatetest3, 13.888085
8, G2Marbletest1, 11.491145
18, G9TableClothVersion2test6, 11.265304
35, G4Larchtrain5, 8.047455
25, G4WoodenPapertest6, 6.246523
3, G4LaminatedWoodtrain7, 16.745033
3, G4LaminatedWoodtrain5, 5.796661
10, G3Coppertrain3, 7.416985
33, G2Bricktrain6, 11.230987
22, G2StoneTileVersion3train6, 7.308327
35, G4Larchtrain2, 5.948459
20, G8GlitterPaperVersion1train2, 10.894586
33, G2StoneTileVersion3train7, 10.023895
20, G9TextileVersion3test1, 13.504018
5, G9TextileVersion4test1, 11.925438
7, G9Jeanstest2, 10.807683
2, G9RedVelvettest4, 5.601734
23, G3Brasstrain1, 20.337051
1, G9RedFleezetrain2, 10.682018
9, G9TableClothVersion2test7, 8.085623
10, G3StainlessSteeltrain8, 7.099426
30, G2StoneTileVersion2train6, 8.927243
22, G3AluminumPlatetest7, 7.105045
24, G4CherryTreetest6, 11.552566
13, G9TableClothVersion2train6, 8.742092
3, G9TextileVersion4train6, 8.901059
22, G3Coppertrain1, 13.753431
3, G9TextileVersion3train9, 7.343222
15, G4Bambootrain9, 12.776036
42, G4Teaktest6, 11.640687
12, G4LaminatedWoodtest3, 34.942695
30, G4ProfiledWoodPlatetrain1, 6.821523
21, G3StainlessSteeltest2, 10.000981
2, G9RedVelvettest1, 5.86103
24, G4WoodenPapertest2, 6.887829
20, G8GlitterPaperVersion1train9, 6.156192
1, G6Toweltest2, 5.385553
23, G8GlitterPaperVersion2train4, 11.821889
45, G2StoneTileVersion2test5, 7.711021
50, G2StoneTileVersion3train9, 8.948128
18, G2Marbletrain8, 7.297845
25, G4WoodenPapertrain8, 7.996096
37, G4CompressedWoodVersion1train4, 11.019948
19, G4LaminatedWoodtrain6, 12.401269
7, G8Papertest3, 12.091863
9, G9Jeanstrain8, 19.752719
2, G6Toweltrain8, 11.897826
18, G2Marbletest4, 6.797653
30, G4Larchtest4, 19.519307
18, G2Marbletest3, 6.818549
20, G6Carpettrain7, 13.688753
1, G9RedFleezetrain3, 6.232321
19, G8Papertrain6, 7.874751
38, G2StoneTileVersion1test4, 12.272252
12, G3StainlessSteeltrain9, 8.027547
14, G3Coppertest7, 10.128046
45, G2StoneTileVersion1test1, 8.163379
23, G1ProfiledAluminumPlatetest7, 12.687645
4, G9GreenVelvettest2, 14.611081
50, G2CrushedRocktest2, 7.378883
7, G9TextileVersion3train3, 7.006284
9, G3AluminumPlatetrain4, 7.39095
10, G8GlitterPaperVersion2train2, 17.834823
9, G3AluminumPlatetrain1, 7.025819
3, G8PlayingCardPapertest2, 7.962826
6, G9TextileVersion4train7, 10.006691
11, G8Papertest6, 5.78088
30, G4CompressedWoodVersion1train7, 6.567487
13, G9TableClothVersion2test3, 6.815407
3, G9RedVelvettrain1, 11.164883
11, G9TextileVersion4test3, 15.697079
40, G2CrushedRocktest7, 6.542577
13, G9Jeanstrain6, 7.461667
10, G8Papertest2, 5.662787
2, G9RedFleezetrain5, 5.21639
30, G4Teaktest7, 8.163869
26, G4Teaktrain8, 16.574081
12, G3Brasstest4, 8.444032
15, G9TextileVersion3train5, 10.214241
3, G8PlayingCardPapertest3, 8.928078
13, G9TableClothVersion2train9, 5.093715
2, G9RedFleezetrain1, 6.938505
30, G4WoodenPapertest5, 12.288494
30, G2StoneTileVersion2train1, 11.08384
23, G3Brasstrain4, 19.661755
9, G4LaminatedWoodtrain8, 7.204209
35, G4Larchtest2, 12.080168
35, G4CompressedWoodVersion1test5, 17.128126
11, G3AluminumPlatetrain2, 9.485924
25, G4Teaktrain4, 11.262193
2, G6Toweltrain3, 7.879533
3, G6Toweltest7, 5.778745
2, G6Toweltrain1, 5.049383
27, G4Larchtrain8, 7.47907
2, G9GreenVelvettest3, 6.425362
33, G2CrushedRocktrain5, 6.83442
45, G2StoneTileVersion1test7, 5.666946
20, G2Bricktrain4, 16.448337
10, G3AluminumPlatetest5, 5.303491
9, G3StainlessSteeltrain1, 4.41404
5, G8PlayingCardPapertest6, 4.994963
6, G9Jeanstest4, 4.712041
23, G4CherryTreetrain1, 6.975321
17, G4LaminatedWoodtest5, 7.22706
5, G8PlayingCardPapertrain9, 4.062871
8, G8RoughPapertest3, 7.828751
12, G9TextileVersion3train2, 9.05543
21, G2StoneTileVersion3train1, 7.444926
20, G2Bricktest6, 4.653771
22, G1ProfiledAluminumPlatetest2, 12.914038
24, G2Marbletest5, 6.14983
35, G2StoneTileVersion1train7, 7.183309
27, G4CherryTreetrain5, 9.454428
18, G3Brasstest3, 6.598385
14, G8Papertest7, 7.063456
23, G1ProfiledAluminumPlatetrain4, 5.051178
22, G4WoodenPapertest7, 4.891404
26, G4ProfiledWoodPlatetest7, 7.847234
2, G9GreenVelvettest5, 6.383867
9, G3StainlessSteeltrain6, 4.584377
23, G1ProfiledAluminumPlatetrain3, 7.359341
35, G2StoneTileVersion1train2, 6.296499
5, G8PlayingCardPapertrain2, 7.644623
4, G9RedVelvettest7, 9.613315
26, G2Bricktrain3, 12.220188
21, G2Marbletest2, 4.765584
22, G4WoodenPapertrain2, 5.78208
13, G9TextileVersion3test5, 7.17809
30, G2StoneTileVersion3train2, 7.38447
12, G9TableClothVersion2train2, 5.81543
17, G3Brasstrain2, 7.772258
15, G8GlitterPaperVersion1test6, 5.840994
27, G4ProfiledWoodPlatetrain6, 5.967963
35, G2StoneTileVersion1train9, 8.553747
23, G1ProfiledAluminumPlatetest1, 6.177179
9, G3StainlessSteeltrain7, 4.136224
12, G9TableClothVersion2test1, 4.76957
22, G4WoodenPapertrain6, 8.914
15, G8GlitterPaperVersion2train3, 6.645241
2, G9RedFleezetrain4, 5.014769
22, G4CherryTreetrain8, 10.568338
2, G6Toweltest1, 5.514482
21, G2Bricktest4, 5.306594
5, G8PlayingCardPapertrain3, 4.476893
14, G4Bambootest5, 14.365502
20, G3Brasstest2, 7.187801
15, G9TextileVersion3test2, 9.891103
24, G4Teaktrain7, 6.570544
24, G2Bricktrain5, 10.417753
16, G9TableClothVersion2train5, 7.480557
10, G3AluminumPlatetrain6, 11.097781
3, G9RedVelvettrain6, 4.927511
10, G3StainlessSteeltest3, 6.754654
9, G9GreenVelvettest1, 7.562463
23, G4Teaktrain5, 8.66953
50, G2CrushedRocktest1, 7.640991
23, G4WoodenPapertrain5, 5.373019
17, G4Bambootrain7, 8.072901
50, G2CrushedRocktrain6, 6.091892
13, G6Carpettest5, 8.715985
23, G4CherryTreetest4, 8.08108
24, G2Bricktrain8, 13.743563
10, G3AluminumPlatetest2, 6.5122
9, G3Coppertrain7, 5.035149
15, G8GlitterPaperVersion1train4, 6.607912
13, G6Carpettrain1, 13.170405
30, G2StoneTileVersion2test2, 10.403114
5, G8PlayingCardPapertrain6, 6.393794
13, G9TableClothVersion2train8, 4.965173
26, G2StoneTileVersion3test3, 8.393674
13, G6Carpettrain4, 4.825307
16, G4LaminatedWoodtrain2, 9.019445
30, G2StoneTileVersion1test5, 5.120446
15, G8GlitterPaperVersion1train3, 7.929139
15, G8GlitterPaperVersion1train5, 8.324336
7, G8RoughPapertrain5, 6.936363
7, G8RoughPapertrain3, 4.473381
28, G4CompressedWoodVersion1test3, 7.663228
13, G6Carpettest7, 4.797125
23, G2Bricktest2, 6.240067
24, G2Bricktest3, 4.755648
9, G3Coppertrain2, 19.016544
8, G3AluminumPlatetrain7, 4.661415
16, G4Bambootest2, 6.676449
26, G2StoneTileVersion2train5, 6.629617
22, G1ProfiledAluminumPlatetest6, 5.395791
15, G8GlitterPaperVersion1test7, 4.633956
6, G9Jeanstest5, 7.10356
10, G3Coppertest2, 4.844855
16, G4LaminatedWoodtrain9, 5.346956
15, G8GlitterPaperVersion1test5, 4.884649
10, G3Coppertest4, 4.858645
11, G9TextileVersion3train4, 7.856945
17, G9TableClothVersion2train3, 8.767681
18, G4Bambootest6, 8.179678
3, G9GreenVelvettrain1, 6.902777
21, G4CherryTreetrain9, 11.558103
5, G8PlayingCardPapertrain8, 4.537334
3, G9RedVelvettrain3, 6.0877
2, G9RedFleezetrain6, 4.951404
25, G4ProfiledWoodPlatetest2, 7.113377
24, G4Teaktrain2, 5.553614
8, G3StainlessSteeltrain2, 4.778177
19, G3Brasstest6, 6.332338
16, G4LaminatedWoodtest4, 5.014367
17, G8GlitterPaperVersion2test6, 7.384951
28, G4Larchtest7, 7.798495
23, G1ProfiledAluminumPlatetrain6, 5.000669
18, G3Brasstest1, 8.537086
28, G4CompressedWoodVersion1train5, 5.032609
24, G4Teaktest1, 6.207583
16, G4Bambootrain6, 5.691259
24, G4ProfiledWoodPlatetest6, 6.593023
23, G1ProfiledAluminumPlatetrain9, 4.671803
20, G4CherryTreetest3, 6.07522
15, G8GlitterPaperVersion1test1, 5.04901
13, G6Carpettest6, 6.134204
11, G8Papertest4, 10.801889
9, G3Coppertest6, 5.393187
9, G3StainlessSteeltest6, 6.522686
2, G9RedFleezetest2, 4.214221
1, G9GreenVelvettrain7, 4.153695
28, G4Larchtrain1, 18.409681
27, G4Teaktest3, 7.713222
1, G9GreenVelvettest4, 5.550994
2, G9RedFleezetest7, 4.12422
26, G4Teaktest5, 5.255287
16, G4LaminatedWoodtest7, 5.114566
31, G2StoneTileVersion1train5, 8.522176
19, G4Bambootrain8, 6.712898
2, G9GreenVelvettest6, 4.588742
2, G9GreenVelvettrain3, 4.976649
4, G9RedVelvettest5, 6.371204
7, G8RoughPapertrain9, 30.527609
15, G8GlitterPaperVersion2train5, 6.50159
15, G8GlitterPaperVersion2train9, 7.78967
40, G2CrushedRocktrain2, 11.662522
15, G9Jeanstest7, 5.838017
29, G2StoneTileVersion2train7, 7.924021
16, G8GlitterPaperVersion2test7, 14.701099
3, G9RedVelvettrain2, 6.099891
4, G9TextileVersion4test7, 6.260089
3, G9GreenVelvettrain9, 8.266843
21, G2Marbletrain7, 5.434109
9, G8RoughPapertest6, 6.132065
12, G3Brasstrain9, 8.700116
18, G4WoodenPapertrain3, 5.497919
22, G4Teaktest4, 13.73078
10, G3Coppertrain4, 4.299183
40, G2CrushedRocktrain9, 4.629559
2, G9RedVelvettrain4, 4.287076
16, G4LaminatedWoodtest1, 4.758702
3, G6Toweltrain2, 9.399521
2, G9RedFleezetrain8, 4.990338
3, G6Toweltest4, 4.086053
40, G2CrushedRocktest5, 6.729074
24, G4ProfiledWoodPlatetest4, 14.782623
24, G4ProfiledWoodPlatetrain4, 6.386212
17, G4Bambootrain1, 6.350046
14, G6Carpettest2, 10.184171
13, G9TextileVersion4train8, 5.08089
2, G9RedFleezetest5, 4.583765
30, G2StoneTileVersion1train3, 5.362173
30, G2StoneTileVersion2train9, 6.499685
24, G4ProfiledWoodPlatetest3, 4.932987
30, G2StoneTileVersion2train8, 8.214058
16, G4LaminatedWoodtrain1, 4.900405
12, G9TextileVersion3train1, 9.482898
28, G4CompressedWoodVersion1train6, 9.182167
27, G4Larchtest1, 12.811839
15, G9Jeanstrain3, 7.118604
22, G4CherryTreetest2, 21.464156
21, G1ProfiledAluminumPlatetrain7, 7.186908
10, G3Brasstest7, 5.630697
3, G9RedVelvettrain7, 5.530422
5, G8PlayingCardPapertrain5, 3.829417
2, G9GreenVelvettrain6, 5.382388
27, G4ProfiledWoodPlatetrain3, 11.416771
9, G8Papertrain5, 6.48551
9, G8RoughPapertest5, 4.498772
15, G9Jeanstrain4, 5.16871
24, G2StoneTileVersion3train8, 12.522153
9, G3StainlessSteeltest4, 5.624781
5, G8PlayingCardPapertest5, 4.427916
13, G6Carpettrain5, 4.932534
9, G3StainlessSteeltest7, 4.144396
3, G9RedVelvettest3, 6.061061
40, G2CrushedRocktrain1, 5.458018
23, G4ProfiledWoodPlatetrain5, 11.043211
22, G2StoneTileVersion3test7, 5.840769
9, G3StainlessSteeltest1, 4.169814
6, G9TextileVersion4test5, 8.561132
3, G9RedVelvettest6, 9.439544
24, G2Bricktest7, 5.919163
16, G8PlayingCardPapertest7, 4.541165
28, G4CompressedWoodVersion1test7, 5.521985
8, G3AluminumPlatetrain8, 5.042947
15, G8GlitterPaperVersion1train7, 13.025465
15, G8GlitterPaperVersion1train1, 8.592782
28, G4CompressedWoodVersion1train1, 4.379658
24, G2Bricktrain7, 4.67056
16, G8Papertrain9, 5.466592
28, G4CompressedWoodVersion1test2, 4.176263
20, G4CherryTreetrain6, 6.471209
2, G6Toweltest5, 8.825115
18, G4Bambootrain5, 6.453538
30, G2StoneTileVersion2test3, 6.234224
30, G2StoneTileVersion1test3, 12.318306
21, G4ProfiledWoodPlatetrain8, 5.6413
20, G2Marbletest6, 9.638574
17, G8GlitterPaperVersion2test3, 6.275938
15, G8GlitterPaperVersion1train6, 4.838909
9, G8RoughPapertrain2, 4.434113
14, G9TextileVersion3test6, 8.594238
