rating, material, time_in_seconds
80, G3AluminumPlatetest6, 21.436591
100, G2StoneTileVersion1train1, 13.94227
40, G2StoneTileVersion3train1, 11.88192
55, G2StoneTileVersion3test4, 10.104802
120, G4LaminatedWoodtest5, 6.766111
65, G2Marbletrain4, 8.444031
45, G6Carpettest5, 17.059452
25, G4WoodenPapertest5, 31.399713
120, G2Marbletrain7, 5.062271
15, G6Toweltrain9, 20.232974
10, G8GlitterPaperVersion1test1, 15.760273
65, G9TableClothVersion2test1, 6.49974
75, G8GlitterPaperVersion1train4, 6.211628
150, G4ProfiledWoodPlatetrain5, 8.137006
105, G4Larchtrain3, 12.975683
20, G9TextileVersion4train2, 6.055775
140, G2CrushedRocktest2, 5.037362
130, G4CherryTreetest1, 6.792388
20, G3Coppertest6, 9.175025
70, G2StoneTileVersion3test2, 10.120602
55, G3StainlessSteeltrain8, 20.561994
30, G8RoughPapertest6, 17.658315
15, G6Toweltest7, 21.973862
90, G4Larchtrain6, 23.714236
15, G9Jeanstest5, 20.71559
110, G1ProfiledAluminumPlatetest7, 6.596333
90, G4Bambootrain4, 8.224812
110, G1ProfiledAluminumPlatetest6, 5.939981
35, G8GlitterPaperVersion2test1, 7.820361
35, G4Larchtest1, 12.232129
40, G3StainlessSteeltest6, 11.702407
40, G8GlitterPaperVersion2train7, 72.135651
45, G8GlitterPaperVersion2test2, 12.797226
80, G2StoneTileVersion2train9, 6.504958
10, G2StoneTileVersion3train5, 5.604386
100, G1ProfiledAluminumPlatetrain7, 5.755456
85, G2StoneTileVersion1test4, 5.896573
10, G6Toweltrain3, 6.391885
95, G4ProfiledWoodPlatetest5, 65.404338
80, G4Bambootrain6, 10.854059
75, G2StoneTileVersion3train3, 5.226212
85, G2StoneTileVersion1train4, 9.856001
45, G4Larchtest5, 12.180415
25, G9TableClothVersion2test7, 9.599673
65, G2StoneTileVersion2test3, 13.923811
85, G2StoneTileVersion1train8, 13.380423
20, G9TextileVersion3test5, 8.398538
15, G3Coppertrain8, 5.033662
100, G4CherryTreetest3, 4.674067
95, G2StoneTileVersion2train3, 5.950183
10, G9GreenVelvettest4, 6.391218
52, G9TextileVersion3test1, 13.855857
70, G2StoneTileVersion2test2, 9.835012
85, G4CompressedWoodVersion1train5, 10.782952
60, G2Bricktest1, 9.858066
20, G6Carpettrain7, 6.651823
65, G3StainlessSteeltrain9, 59.246347
50, G8Papertest1, 72.248681
100, G4CherryTreetest4, 5.805885
5, G8PlayingCardPapertest6, 8.863244
10, G9TextileVersion4test6, 5.158929
85, G4CompressedWoodVersion1train8, 4.878146
120, G4CompressedWoodVersion1train6, 7.604645
10, G8RoughPapertest2, 10.772728
5, G9TableClothVersion2train1, 6.068275
15, G3StainlessSteeltest7, 22.973744
25, G8GlitterPaperVersion2train3, 9.988443
25, G3AluminumPlatetrain3, 5.643624
20, G6Carpettrain2, 5.683
10, G9TableClothVersion2test4, 13.43341
10, G8Papertrain2, 9.84917
10, G6Toweltrain1, 10.932158
12, G9RedVelvettrain7, 145.454813
85, G4Bambootrain8, 4.086636
70, G3AluminumPlatetrain9, 4.465987
95, G4WoodenPapertrain2, 4.206313
25, G9RedFleezetrain4, 5.210356
100, G3AluminumPlatetest1, 5.349757
25, G8GlitterPaperVersion1test6, 5.501901
20, G8RoughPapertrain6, 76.112733
20, G8RoughPapertrain6, 0.231508
25, G9TableClothVersion2train8, 55.341778
20, G4Teaktest2, 6.017851
20, G9RedFleezetest1, 16.153943
35, G3Coppertrain2, 7.96454
20, G6Carpettrain9, 4.30892
15, G8Papertest5, 2.342934
10, G8RoughPapertrain2, 2.275222
5, G8PlayingCardPapertrain4, 5.482017
75, G4LaminatedWoodtrain3, 4.210018
65, G9TableClothVersion2train9, 2.850139
70, G4WoodenPapertest6, 2.564887
80, G8GlitterPaperVersion2train4, 4.695505
20, G6Toweltrain6, 4.088337
30, G9TableClothVersion2test6, 4.826444
7, G8PlayingCardPapertrain9, 3.215584
40, G4Larchtrain1, 4.93205
35, G2Bricktest5, 2.518073
15, G9GreenVelvettrain3, 8.826113
35, G3StainlessSteeltrain1, 2.765259
40, G8GlitterPaperVersion1train9, 2.475564
52, G8Papertrain3, 13.66311
75, G9Jeanstrain5, 4.50554
85, G2Bricktrain5, 7.856258
75, G2CrushedRocktest4, 2.249236
65, G4WoodenPapertrain8, 5.118411
15, G9RedVelvettest2, 2.784322
35, G8Papertrain8, 4.118402
25, G9TableClothVersion2train5, 16.497238
15, G4Teaktrain4, 2.904706
0, G8PlayingCardPapertrain7, 1.96585
45, G4CherryTreetrain3, 5.516559
80, G4Teaktrain7, 4.899621
5, G8PlayingCardPapertrain5, 4.580532
45, G4LaminatedWoodtrain7, 2.92362
80, G2StoneTileVersion2train5, 123.368612
