rating, material, time_in_seconds
60, G2StoneTileVersion3train4, 57.702149
55, G4Teaktrain2, 40.859377
10, G3AluminumPlatetrain8, 14.891806
60, G4Teaktrain4, 8.335401
5, G3Coppertrain4, 6.794921
30, G9TextileVersion4train9, 13.572932
90, G2Bricktrain2, 10.191057
94, G2CrushedRocktrain6, 9.775489
35, G8RoughPapertest6, 17.810279
70, G9RedFleezetrain1, 10.426777
20, G4LaminatedWoodtest2, 8.300693
70, G2StoneTileVersion1train3, 5.169176
45, G8GlitterPaperVersion2train6, 10.589571
78, G4CompressedWoodVersion1test7, 12.929436
23, G8GlitterPaperVersion2test4, 11.697712
30, G9TextileVersion4test5, 10.006693
40, G9Jeanstest5, 9.104351
30, G9TextileVersion4train2, 4.544427
10, G3Brasstrain4, 4.104133
5, G3AluminumPlatetrain3, 3.582571
45, G8RoughPapertrain7, 7.480964
30, G9TextileVersion4train5, 4.142241
10, G3StainlessSteeltest3, 5.017851
78, G4CherryTreetrain2, 6.823103
25, G8GlitterPaperVersion1test2, 7.767894
80, G4CompressedWoodVersion1train7, 4.713081
95, G2Bricktrain1, 6.910689
2, G8PlayingCardPapertest7, 7.194661
5, G3Brasstest6, 3.901405
10, G3AluminumPlatetest7, 3.289565
10, G3AluminumPlatetest3, 5.076007
10, G3AluminumPlatetest1, 4.490636
38, G8Papertrain8, 8.634042
55, G9RedFleezetest5, 5.016226
76, G4Larchtrain8, 6.007574
98, G2Bricktest5, 11.079711
45, G9RedFleezetest1, 4.744303
98, G2Bricktrain7, 5.759051
35, G4Bambootrain8, 7.526618
10, G3Coppertest4, 3.428424
8, G3StainlessSteeltrain4, 6.190838
24, G4WoodenPapertest7, 5.366167
98, G2StoneTileVersion1test7, 6.438054
40, G9RedFleezetest3, 3.480719
65, G4Teaktest1, 5.714153
30, G9TextileVersion3train9, 5.885491
20, G8PlayingCardPapertrain3, 11.137788
40, G8GlitterPaperVersion2train2, 5.278711
90, G4ProfiledWoodPlatetrain5, 7.002852
70, G4ProfiledWoodPlatetrain1, 10.214254
82, G2CrushedRocktrain4, 10.271947
35, G9TextileVersion3test6, 7.344698
20, G8Papertest4, 5.239768
10, G3Coppertrain2, 6.943566
67, G2StoneTileVersion3train6, 4.310101
82, G2CrushedRocktrain9, 5.161689
80, G6Carpettrain7, 6.654024
90, G2StoneTileVersion1train2, 4.17024
30, G8GlitterPaperVersion1train7, 5.272828
80, G2StoneTileVersion1train5, 8.150159
42, G9TextileVersion3train1, 11.981788
80, G6Carpettest7, 4.474666
28, G8Papertrain9, 8.038298
40, G4Larchtest1, 6.768006
30, G9TextileVersion4test3, 4.425946
15, G1ProfiledAluminumPlatetrain5, 6.912296
30, G8GlitterPaperVersion2test2, 5.375182
45, G9TableClothVersion2test6, 5.232328
25, G9TableClothVersion2train3, 4.720113
10, G3Coppertrain5, 5.058105
4, G3StainlessSteeltrain6, 4.428183
90, G4ProfiledWoodPlatetrain9, 3.976315
10, G3StainlessSteeltest2, 4.896026
25, G9RedVelvettest1, 7.049798
10, G3Coppertest1, 5.452955
70, G4LaminatedWoodtrain6, 9.219064
98, G2Bricktrain3, 3.412193
