rating, material, time_in_seconds
25, G2Bricktest4, 20.603347
30, G1ProfiledAluminumPlatetest6, 17.538018
23, G6Toweltest5, 12.908755
40, G4CompressedWoodVersion1train7, 27.763966
30, G4Larchtrain1, 11.055443
39, G4CompressedWoodVersion1train6, 10.201971
37, G4LaminatedWoodtest2, 25.575938
26, G9Jeanstrain9, 13.519662
27, G8GlitterPaperVersion2train7, 6.904802
28, G6Carpettest4, 6.840957
24, G8PlayingCardPapertrain4, 7.766232
40, G4ProfiledWoodPlatetrain9, 7.478346
39, G2Marbletrain4, 6.428799
38, G4Bambootest1, 7.692532
24, G9TextileVersion4train8, 7.129088
25, G9Jeanstest1, 10.970954
40, G4Bambootest6, 8.719336
30, G3AluminumPlatetrain9, 8.60397
40, G4LaminatedWoodtrain1, 5.076157
45, G4CompressedWoodVersion1test2, 5.140388
24, G8PlayingCardPapertrain5, 8.859463
35, G2CrushedRocktest2, 13.418704
40, G4CherryTreetest5, 10.94643
30, G2Marbletest1, 5.918786
22, G8PlayingCardPapertrain1, 8.174855
40, G4CherryTreetrain5, 5.310294
42, G2StoneTileVersion1test5, 6.044871
42, G2StoneTileVersion1test2, 7.962549
23, G6Toweltrain3, 8.163422
22, G3Brasstrain2, 4.918084
30, G6Carpettrain4, 8.452311
44, G4ProfiledWoodPlatetrain8, 9.201618
30, G4WoodenPapertrain4, 6.280126
31, G2Marbletrain8, 5.407269
33, G2StoneTileVersion3train4, 7.888617
30, G2Bricktest3, 5.897211
25, G3Coppertest3, 9.13597
30, G4LaminatedWoodtrain5, 5.050136
26, G9RedFleezetest7, 5.028432
27, G3AluminumPlatetest1, 8.55479
32, G4Bambootrain6, 7.18951
28, G3StainlessSteeltest4, 5.914132
30, G9RedFleezetest5, 7.254482
28, G3AluminumPlatetest5, 7.449305
26, G8GlitterPaperVersion2train9, 6.914913
35, G2CrushedRocktest4, 5.52495
36, G2Bricktrain1, 5.611042
30, G6Carpettest3, 6.615615
38, G2CrushedRocktest7, 7.335891
33, G8PlayingCardPapertest4, 9.030857
40, G1ProfiledAluminumPlatetest7, 6.065717
42, G1ProfiledAluminumPlatetrain6, 8.734596
27, G8GlitterPaperVersion2train4, 7.124351
26, G3Brasstest6, 5.553187
25, G6Toweltrain1, 6.825704
24, G8RoughPapertrain7, 7.486487
36, G2StoneTileVersion3test5, 8.747868
27, G8GlitterPaperVersion1test3, 6.83898
32, G4Larchtest7, 5.067047
42, G2StoneTileVersion3test6, 7.197839
25, G8PlayingCardPapertest7, 4.358785
24, G9RedVelvettrain5, 5.104686
24, G9RedVelvettrain7, 5.703023
33, G2Bricktrain5, 17.185979
32, G4ProfiledWoodPlatetrain1, 6.333839
33, G4Larchtrain5, 4.227565
42, G4Teaktest3, 8.74184
30, G9TextileVersion3train3, 10.764254
35, G9TableClothVersion2train3, 7.350391
44, G2StoneTileVersion1test3, 6.054433
45, G2StoneTileVersion1train3, 3.837571
40, G4CompressedWoodVersion1train3, 6.437703
38, G4Teaktrain1, 6.070961
42, G2Bricktrain7, 7.138354
40, G4LaminatedWoodtrain2, 5.895947
25, G3AluminumPlatetrain8, 6.164324
25, G8GlitterPaperVersion2train8, 6.84008
25, G9Jeanstest7, 5.111916
44, G4CompressedWoodVersion1test4, 5.586898
30, G6Carpettest5, 4.919949
28, G3StainlessSteeltrain8, 9.527141
30, G4WoodenPapertrain6, 5.275049
26, G3Coppertrain8, 5.142656
24, G9TextileVersion4train1, 6.941826
33, G4WoodenPapertest1, 5.319078
45, G4CherryTreetrain6, 3.984355
38, G2CrushedRocktest3, 5.539879
45, G2StoneTileVersion1train5, 5.997819
24, G9TextileVersion4train9, 6.210302
25, G9GreenVelvettest7, 4.874968
44, G2StoneTileVersion1test4, 4.34632
28, G9RedFleezetrain9, 5.546182
24, G8Papertrain4, 12.849134
23, G9GreenVelvettrain7, 6.635852
40, G4ProfiledWoodPlatetest6, 4.166811
27, G9TextileVersion3train6, 6.025547
36, G4Larchtrain7, 5.008288
34, G4Bambootrain3, 9.641966
45, G4ProfiledWoodPlatetest2, 4.424726
45, G4ProfiledWoodPlatetest1, 3.464664
27, G9Jeanstest4, 5.637955
29, G9TextileVersion3train9, 4.489844
25, G8GlitterPaperVersion2test1, 3.700717
26, G3AluminumPlatetest3, 5.209223
26, G3AluminumPlatetrain1, 6.496076
32, G2Marbletrain5, 4.566601
23, G9GreenVelvettrain6, 5.518916
27, G9TableClothVersion2test4, 8.427072
42, G2StoneTileVersion2train6, 7.807868
27, G8RoughPapertest3, 6.491231
38, G9TextileVersion3test6, 6.909448
28, G9RedFleezetrain1, 5.137917
27, G3Coppertest6, 9.567831
27, G8GlitterPaperVersion2train2, 5.539571
32, G4WoodenPapertest3, 6.207447
46, G1ProfiledAluminumPlatetest1, 4.713276
27, G9TextileVersion4test3, 5.849822
33, G4Larchtrain6, 7.057004
27, G9RedFleezetrain2, 7.525665
25, G6Toweltrain5, 13.076854
27, G3Brasstest3, 6.250447
26, G9TextileVersion3train2, 4.461864
25, G8Papertest4, 4.651303
40, G4ProfiledWoodPlatetrain6, 6.340558
26, G3AluminumPlatetest6, 4.692924
38, G2Bricktrain8, 6.704541
25, G3Brasstest2, 4.126212
45, G4CherryTreetest2, 6.791428
38, G4Teaktrain9, 8.128363
25, G8GlitterPaperVersion1train6, 6.012048
23, G8PlayingCardPapertest2, 7.868214
26, G4Larchtest2, 3.766648
28, G4Bambootrain9, 4.064755
40, G2StoneTileVersion1train2, 5.12389
28, G6Carpettest7, 4.24869
25, G3Coppertest4, 4.03242
24, G8PlayingCardPapertrain8, 4.538874
25, G8GlitterPaperVersion1train2, 4.154213
40, G2Marbletest2, 3.775501
42, G2Bricktrain9, 4.284548
43, G2StoneTileVersion1train4, 7.219392
30, G9TextileVersion3test1, 9.767584
38, G2StoneTileVersion3train9, 6.141123
46, G1ProfiledAluminumPlatetest4, 5.388057
40, G1ProfiledAluminumPlatetrain4, 9.150394
25, G3Coppertrain1, 10.774948
26, G4WoodenPapertrain8, 14.109182
35, G2Bricktest6, 8.477061
25, G3StainlessSteeltrain6, 9.605262
42, G1ProfiledAluminumPlatetrain1, 8.996883
24, G8Papertrain3, 16.507137
25, G8Papertest7, 11.310511
26, G8RoughPapertrain3, 13.418934
38, G4LaminatedWoodtest3, 10.788749
33, G2CrushedRocktest1, 11.979784
35, G2StoneTileVersion2train8, 15.149465
26, G8PlayingCardPapertest6, 10.973968
28, G9RedVelvettrain4, 9.112411
30, G2CrushedRocktrain8, 7.995539
25, G9RedVelvettest5, 6.825206
30, G2CrushedRocktrain1, 6.898804
32, G3StainlessSteeltrain1, 8.550381
26, G3Coppertrain7, 6.056296
28, G9RedFleezetest2, 5.626493
26, G8Papertrain8, 7.861561
27, G6Toweltest7, 7.787779
36, G4WoodenPapertrain1, 6.24265
42, G2StoneTileVersion2test5, 6.667272
28, G3AluminumPlatetrain3, 6.54257
27, G8GlitterPaperVersion2train5, 6.15477
30, G2CrushedRocktrain4, 5.379587
36, G4Bambootrain7, 5.48321
24, G3Coppertrain5, 7.110823
24, G9TextileVersion4train2, 7.308508
23, G9RedVelvettrain1, 7.846165
26, G3StainlessSteeltest7, 7.023513
24, G9TextileVersion4train3, 5.912439
26, G9RedVelvettest2, 5.300622
40, G4LaminatedWoodtrain6, 13.96867
26, G9RedVelvettrain6, 8.232327
25, G8GlitterPaperVersion2train3, 9.906942
24, G3Brasstrain8, 9.030492
42, G2Marbletest5, 8.789347
42, G2Marbletest5, 10.009207
27, G8GlitterPaperVersion1test6, 9.313822
28, G9RedFleezetest6, 7.115666
27, G9Jeanstrain8, 6.847521
46, G1ProfiledAluminumPlatetest2, 6.900942
28, G9GreenVelvettest2, 6.144894
42, G4CherryTreetrain3, 5.443449
38, G4Teaktrain2, 5.489077
27, G9TextileVersion3test7, 6.079336
29, G4Teaktest4, 5.313872
30, G2CrushedRocktrain2, 5.197852
27, G9RedVelvettest3, 5.009115
28, G6Carpettest2, 4.911855
28, G9RedFleezetrain6, 6.367231
29, G6Carpettest6, 4.445396
27, G9TextileVersion4test1, 6.586573
42, G4CherryTreetrain1, 5.389142
38, G9TextileVersion3test4, 7.785308
27, G8GlitterPaperVersion1train4, 9.172778
44, G2StoneTileVersion1train7, 6.309573
27, G8GlitterPaperVersion1test7, 5.83772
25, G6Carpettrain9, 11.437596
25, G8PlayingCardPapertrain7, 8.335457
28, G9TextileVersion4test5, 9.320252
26, G4Bambootrain5, 9.982655
28, G3StainlessSteeltest2, 6.096494
30, G4WoodenPapertrain3, 6.235256
25, G8RoughPapertrain8, 10.286304
27, G8Papertest3, 8.004666
30, G2CrushedRocktrain6, 11.062539
27, G3Coppertest1, 7.305671
25, G8PlayingCardPapertrain3, 16.843723
28, G8GlitterPaperVersion2test3, 7.428325
33, G4WoodenPapertest2, 9.401319
42, G2CrushedRocktrain9, 7.441676
33, G9TableClothVersion2test3, 5.680675
28, G9TextileVersion4train6, 6.381123
46, G1ProfiledAluminumPlatetrain9, 7.639557
38, G2StoneTileVersion2test2, 8.880909
32, G4Bambootest3, 7.436689
45, G4CherryTreetrain9, 5.433559
28, G9TextileVersion4train7, 8.557873
40, G4CompressedWoodVersion1train1, 7.242959
25, G3Coppertrain2, 17.382682
27, G8RoughPapertest1, 7.964972
26, G2Bricktrain3, 10.646194
27, G3Brasstrain4, 16.647821
38, G4LaminatedWoodtest1, 8.682236
27, G9TableClothVersion2train5, 5.511496
27, G8RoughPapertrain6, 5.971433
25, G8PlayingCardPapertest3, 5.238346
25, G9Jeanstest6, 6.223305
26, G9TextileVersion4test2, 9.100576
22, G9GreenVelvettrain8, 6.970097
23, G8GlitterPaperVersion1train7, 9.380751
35, G2StoneTileVersion3train1, 5.347579
27, G8GlitterPaperVersion2test5, 7.085871
33, G2Bricktest5, 5.858977
27, G9TableClothVersion2test5, 6.620126
32, G9TableClothVersion2train7, 9.875227
26, G6Toweltrain8, 17.356066
28, G9TextileVersion3test3, 9.333604
27, G4Bambootrain4, 14.303006
45, G1ProfiledAluminumPlatetrain2, 6.578123
28, G9RedFleezetest3, 5.579764
29, G3StainlessSteeltest3, 24.95601
33, G2StoneTileVersion2train1, 5.987491
28, G9TextileVersion3train4, 5.443526
32, G2StoneTileVersion3test1, 6.525263
25, G8Papertest1, 8.815246
27, G9RedFleezetest4, 9.685837
31, G2StoneTileVersion2train7, 12.236268
32, G2CrushedRocktest6, 6.088139
25, G9TextileVersion4train5, 8.184708
29, G4Bambootest5, 5.766794
26, G6Toweltrain6, 6.631098
27, G3AluminumPlatetrain4, 6.294514
30, G2CrushedRocktrain7, 10.578687
27, G8GlitterPaperVersion1train9, 8.173742
26, G3Coppertrain6, 15.216582
30, G4Bambootest4, 12.032324
33, G2StoneTileVersion3train6, 8.004403
26, G4Teaktrain5, 7.419242
26, G4LaminatedWoodtrain8, 9.468884
32, G2CrushedRocktest5, 9.394132
38, G2StoneTileVersion1train8, 7.346561
33, G2Marbletest3, 7.244936
27, G9TableClothVersion2train9, 7.858267
27, G8GlitterPaperVersion1test5, 7.843856
27, G9TextileVersion4test6, 9.10794
27, G9GreenVelvettest6, 7.172546
38, G2StoneTileVersion1test7, 15.33739
28, G9TableClothVersion2train2, 6.723268
27, G9Jeanstest2, 6.982503
40, G2StoneTileVersion2train2, 7.634032
30, G9TextileVersion3train8, 8.325467
28, G9RedVelvettest1, 7.97335
27, G3StainlessSteeltrain9, 6.887736
35, G4Teaktest6, 9.604071
28, G3Brasstrain3, 11.98327
27, G8GlitterPaperVersion1test2, 10.397869
36, G4ProfiledWoodPlatetest3, 8.908586
27, G8Papertest5, 7.726091
28, G9TableClothVersion2train1, 7.944509
42, G1ProfiledAluminumPlatetrain5, 16.315991
28, G3AluminumPlatetrain5, 13.258226
30, G4WoodenPapertest7, 9.555136
36, G4CherryTreetrain2, 10.29015
28, G8GlitterPaperVersion2test6, 7.450432
27, G8RoughPapertrain4, 8.800527
28, G9RedFleezetrain7, 9.147669
27, G3AluminumPlatetest4, 7.099342
26, G8Papertest2, 7.687497
33, G2Marbletrain1, 9.313561
