rating, material, time_in_seconds
400, G4ProfiledWoodPlatetest1, 49.191346
50, G3AluminumPlatetest3, 38.78433
70, G3StainlessSteeltest1, 15.974532
200, G4CherryTreetest7, 20.458493
300, G2StoneTileVersion1test4, 15.937757
30, G8Papertrain9, 21.574629
100, G4Larchtrain9, 14.395193
20, G8GlitterPaperVersion1test3, 18.813481
40, G4WoodenPapertest4, 14.943394
15, G8Papertest7, 11.809537
150, G4Teaktrain8, 15.620178
120, G4Teaktrain4, 14.212507
12, G9TextileVersion4test6, 16.242244
200, G4ProfiledWoodPlatetest3, 14.97193
100, G4Larchtest3, 11.743318
40, G8GlitterPaperVersion2train2, 14.294383
300, G2CrushedRocktrain6, 37.920132
20, G9TableClothVersion2train6, 12.388895
10, G6Toweltrain6, 11.77861
8, G8PlayingCardPapertest5, 21.924421
60, G3StainlessSteeltest2, 13.996584
15, G8Papertest2, 27.462164
30, G9RedVelvettest4, 14.803595
90, G6Carpettrain6, 18.01459
40, G8Papertrain8, 16.140086
90, G6Carpettest6, 12.347211
250, G4ProfiledWoodPlatetrain2, 13.368978
90, G6Carpettrain8, 9.295383
200, G2StoneTileVersion3test6, 25.240561
10, G9GreenVelvettest5, 14.832525
175, G2StoneTileVersion2test3, 27.545397
130, G2CrushedRocktest2, 16.863429
35, G9TextileVersion3test6, 14.702714
22, G9Jeanstest1, 16.212808
5, G9GreenVelvettest4, 11.244818
75, G2Marbletrain9, 19.423909
130, G2CrushedRocktrain7, 10.471697
60, G3StainlessSteeltrain2, 10.364047
30, G3AluminumPlatetrain2, 20.31421
300, G4CherryTreetest3, 19.398839
200, G4LaminatedWoodtest2, 9.306532
70, G3AluminumPlatetrain7, 11.501006
175, G2StoneTileVersion2train2, 11.438382
35, G3Brasstest3, 12.375311
25, G8GlitterPaperVersion1test7, 9.707066
90, G9TableClothVersion2test7, 17.234881
20, G3Coppertest6, 23.965534
200, G4Teaktrain9, 13.804976
450, G4CompressedWoodVersion1train7, 12.271266
18, G9TextileVersion4train9, 62.744234
600, G1ProfiledAluminumPlatetrain4, 17.733317
18, G9TextileVersion4train8, 10.685285
13, G8PlayingCardPapertrain4, 19.717468
340, G2Bricktrain9, 21.409807
40, G8GlitterPaperVersion1train7, 9.052989
20, G9Jeanstrain8, 13.440847
10, G9GreenVelvettrain9, 11.799849
125, G4Bambootrain6, 20.118801
25, G9RedVelvettrain3, 24.324842
10, G9GreenVelvettrain2, 8.492848
150, G4Teaktest7, 14.824991
600, G1ProfiledAluminumPlatetrain5, 11.650391
255, G2Bricktrain7, 14.786894
110, G4Larchtest7, 82.665967
600, G1ProfiledAluminumPlatetest4, 9.722839
100, G2CrushedRocktest5, 16.782133
70, G4LaminatedWoodtrain8, 24.830952
200, G4Teaktrain2, 10.109954
80, G2Marbletest4, 20.65049
22, G9RedVelvettest3, 15.862095
600, G1ProfiledAluminumPlatetrain7, 8.740005
40, G8GlitterPaperVersion2train7, 14.608567
90, G4Bambootest2, 13.411788
50, G9RedFleezetrain4, 13.003634
400, G4ProfiledWoodPlatetrain3, 11.835492
14, G9TextileVersion4test5, 14.68376
40, G2Marbletest2, 13.090869
20, G3AluminumPlatetrain3, 13.039864
170, G4Larchtrain6, 17.199074
12, G6Toweltrain8, 11.80019
75, G4LaminatedWoodtest4, 28.919583
10, G9GreenVelvettrain6, 14.875144
400, G4ProfiledWoodPlatetrain6, 21.836476
200, G4CherryTreetest1, 486.875859
50, G9TextileVersion3train1, 314.169118
30, G4LaminatedWoodtrain6, 8.959481
25, G3AluminumPlatetest7, 7.36398
70, G6Carpettrain4, 18.966358
25, G3Coppertrain2, 13.268312
70, G6Carpettrain9, 8.785889
10, G6Toweltest7, 12.311599
30, G9RedVelvettrain2, 9.829458
300, G4CompressedWoodVersion1test6, 16.15297
100, G4Larchtest5, 10.191206
300, G4CompressedWoodVersion1test2, 7.425664
10, G6Toweltrain1, 10.756644
15, G9RedVelvettrain1, 11.376329
175, G2StoneTileVersion1train1, 11.03121
