rating, material, time_in_seconds
100, G2StoneTileVersion2test7, 6710.836287
150, G9Jeanstrain1, 24.781606
75, G3Brasstrain6, 33.455264
175, G8GlitterPaperVersion2test5, 40.226882
160, G4WoodenPapertest2, 13.464059
180, G9TableClothVersion2test3, 57.812788
50, G9GreenVelvettest6, 31.574457
115, G2StoneTileVersion3test5, 17.619519
60, G8RoughPapertrain8, 45.22292
55, G8Papertrain4, 19.805036
130, G3Coppertest2, 19.204628
90, G3AluminumPlatetrain7, 29.38748
165, G4WoodenPapertrain4, 22.402294
90, G3StainlessSteeltest5, 30.550567
95, G3AluminumPlatetest7, 28.234592
190, G9TableClothVersion2test6, 38.538956
250, G4Teaktest4, 29.981091
150, G2Marbletest7, 52.486507
170, G9TableClothVersion2train5, 27.021058
130, G2StoneTileVersion1test6, 13.312698
200, G4LaminatedWoodtrain8, 31.378729
70, G3Brasstrain5, 14.604021
80, G3StainlessSteeltest3, 27.105307
90, G8PlayingCardPapertrain2, 22.314752
120, G9RedFleezetrain5, 10.776442
140, G9RedVelvettest4, 33.899829
180, G6Carpettrain6, 18.560529
110, G8RoughPapertrain2, 10.832789
140, G9TextileVersion3test4, 12.737417
130, G2StoneTileVersion2train6, 31.940573
80, G3AluminumPlatetrain5, 6.32499
90, G2StoneTileVersion3test4, 11.390463
65, G8RoughPapertrain5, 19.839352
170, G9Jeanstest1, 22.493795
220, G2StoneTileVersion1test3, 15.343249
70, G4LaminatedWoodtest3, 8.927396
50, G9RedFleezetrain2, 6.524541
140, G4ProfiledWoodPlatetrain1, 59.542739
150, G8GlitterPaperVersion1train3, 19.212789
130, G9TextileVersion3train5, 8.849372
140, G9TextileVersion4train6, 10.050122
50, G3AluminumPlatetest6, 10.225189
100, G2Marbletrain7, 8.122071
55, G3StainlessSteeltrain9, 7.349528
150, G4CherryTreetrain6, 9.827194
60, G9RedFleezetest1, 17.384444
70, G4WoodenPapertest7, 9.630615
65, G9RedVelvettest2, 14.300408
140, G4Bambootrain8, 35.538212
150, G8GlitterPaperVersion1test5, 10.845529
75, G9RedVelvettrain7, 16.625638
130, G4Bambootrain9, 17.484823
250, G4CherryTreetrain1, 11.473691
230, G2StoneTileVersion2test3, 7.820058
260, G4CherryTreetest7, 10.964529
90, G4Bambootrain5, 11.028689
90, G2StoneTileVersion3test3, 14.756186
30, G9RedVelvettrain6, 10.998908
110, G2Bricktrain8, 11.505524
100, G2Bricktest2, 45.616314
70, G9TextileVersion3train3, 7.760613
70, G8RoughPapertest3, 11.051419
50, G9RedFleezetrain6, 6.689835
60, G9Jeanstrain9, 9.984599
50, G9TextileVersion4train1, 17.512232
150, G2CrushedRocktest2, 7.77854
70, G6Toweltest6, 9.626124
150, G4LaminatedWoodtest6, 7.873812
130, G8GlitterPaperVersion2test2, 13.982826
140, G2StoneTileVersion3test1, 9.561938
160, G2CrushedRocktrain8, 7.820137
40, G9RedFleezetest2, 8.608743
40, G8RoughPapertest4, 8.501632
70, G4Teaktest5, 8.406012
110, G2CrushedRocktest3, 23.544689
60, G8RoughPapertrain1, 5.974994
100, G4WoodenPapertest1, 6.791267
80, G8PlayingCardPapertest2, 10.146997
140, G2StoneTileVersion1train3, 27.665547
140, G4CompressedWoodVersion1train4, 50.736328
120, G2StoneTileVersion2test5, 9.011972
50, G9RedFleezetest3, 6.276808
60, G4Teaktest2, 7.087305
140, G4CompressedWoodVersion1train7, 9.848049
60, G3StainlessSteeltrain6, 9.854501
90, G8GlitterPaperVersion1train9, 11.955347
40, G9TextileVersion4train4, 7.911639
170, G2StoneTileVersion1train6, 22.597934
100, G8GlitterPaperVersion2train6, 10.866709
90, G3Brasstest6, 8.296908
140, G4CherryTreetest1, 7.365074
160, G4Teaktest7, 18.971269
190, G2StoneTileVersion1train2, 12.604101
110, G2StoneTileVersion3train1, 47.381524
35, G8PlayingCardPapertrain1, 29.07538
70, G4Bambootrain6, 14.0728
80, G8Papertrain9, 37.53609
150, G4LaminatedWoodtrain3, 11.539924
190, G1ProfiledAluminumPlatetrain3, 6.200044
40, G8PlayingCardPapertrain5, 8.343396
50, G6Carpettest2, 7.939854
80, G4WoodenPapertrain9, 6.577829
50, G8Papertest6, 8.870618
70, G9TextileVersion3train7, 6.535403
75, G9TextileVersion3train4, 5.950428
90, G3StainlessSteeltrain4, 7.188715
150, G2StoneTileVersion1train8, 36.429638
120, G4Larchtrain5, 9.605079
100, G4Larchtest4, 14.717636
40, G9GreenVelvettrain6, 14.303896
85, G3StainlessSteeltest4, 9.533458
40, G6Toweltrain7, 5.982036
45, G9RedFleezetest6, 5.401061
140, G2StoneTileVersion2train3, 6.03427
120, G4Teaktrain6, 9.228021
100, G4WoodenPapertrain1, 40.18225
130, G2StoneTileVersion2train4, 16.756448
145, G2StoneTileVersion1train9, 13.33783
70, G3Coppertrain2, 14.255923
65, G3Brasstrain7, 8.247621
45, G6Carpettrain3, 8.677814
160, G4CherryTreetrain3, 10.948289
110, G4Larchtrain8, 14.286541
110, G3AluminumPlatetrain9, 11.028096
35, G8PlayingCardPapertest5, 8.73058
140, G4CompressedWoodVersion1train6, 8.504431
90, G3StainlessSteeltest6, 32.724725
140, G4LaminatedWoodtrain1, 8.906401
45, G8RoughPapertrain4, 7.495458
110, G4LaminatedWoodtest4, 19.999284
120, G4Bambootrain2, 13.081334
95, G8GlitterPaperVersion1test2, 15.7042
45, G6Carpettrain9, 6.698334
65, G3Coppertrain5, 8.144163
50, G8Papertrain1, 23.608368
190, G2StoneTileVersion1test4, 8.142335
100, G8GlitterPaperVersion2test6, 5.834607
180, G2StoneTileVersion2test1, 6.762343
215, G1ProfiledAluminumPlatetest2, 9.269355
260, G4ProfiledWoodPlatetrain7, 13.858014
45, G8RoughPapertrain3, 9.417122
110, G4Larchtest2, 12.879718
40, G9RedFleezetrain1, 6.640677
105, G2Marbletrain4, 8.326776
85, G8GlitterPaperVersion1test4, 10.203343
110, G4Teaktrain2, 17.377547
120, G2StoneTileVersion3train7, 16.970035
195, G2Bricktest1, 10.608806
30, G9GreenVelvettrain7, 6.363893
200, G2Bricktrain1, 9.433135
45, G9RedVelvettrain5, 10.957213
50, G8RoughPapertest2, 11.171344
90, G2CrushedRocktrain3, 7.214151
75, G8RoughPapertest6, 11.972633
50, G8PlayingCardPapertrain4, 10.634405
90, G3Brasstest7, 6.124541
160, G2StoneTileVersion3test2, 8.945897
180, G4Larchtrain3, 6.233657
200, G4Teaktrain7, 5.400367
60, G9TextileVersion4train3, 5.837355
170, G2Marbletrain2, 7.139168
220, G4CherryTreetest6, 10.035072
45, G8PlayingCardPapertest7, 40.093422
120, G4WoodenPapertrain5, 21.397164
60, G8Papertest2, 32.823817
200, G4CompressedWoodVersion1train5, 7.815625
110, G8GlitterPaperVersion2test3, 14.82216
210, G1ProfiledAluminumPlatetest3, 7.381334
160, G9TableClothVersion2train8, 11.588583
220, G4CompressedWoodVersion1test5, 9.691654
170, G2Bricktest4, 48.617976
200, G4ProfiledWoodPlatetrain3, 10.459755
50, G8RoughPapertrain7, 10.717941
100, G3Coppertest3, 6.261078
120, G8GlitterPaperVersion2test4, 6.576122
50, G8PlayingCardPapertest1, 6.516255
100, G3Brasstest1, 9.326529
45, G9RedFleezetrain7, 10.014828
120, G3Coppertest6, 9.105819
195, G4CompressedWoodVersion1train2, 7.283349
210, G4CherryTreetrain2, 9.656448
95, G3StainlessSteeltrain5, 7.623999
65, G8Papertrain7, 15.010107
200, G4ProfiledWoodPlatetrain8, 10.630525
55, G9TextileVersion4train8, 8.254103
130, G8GlitterPaperVersion2train9, 10.076443
55, G6Carpettrain8, 7.723795
210, G2StoneTileVersion2train9, 7.124526
195, G4ProfiledWoodPlatetest5, 7.626686
50, G9TextileVersion4test1, 8.781371
40, G9GreenVelvettrain4, 8.573483
130, G8GlitterPaperVersion1train1, 8.446305
230, G1ProfiledAluminumPlatetrain5, 7.173973
240, G1ProfiledAluminumPlatetest1, 7.519044
50, G9TextileVersion4test6, 6.147156
60, G9Jeanstest3, 10.619967
90, G8GlitterPaperVersion2train1, 5.81279
210, G1ProfiledAluminumPlatetest5, 8.251396
45, G9RedVelvettrain8, 9.107998
220, G4ProfiledWoodPlatetest7, 6.581984
170, G4Larchtrain7, 6.681631
120, G4Teaktrain4, 8.266128
230, G1ProfiledAluminumPlatetrain9, 6.352671
100, G2Marbletest6, 9.161098
195, G4ProfiledWoodPlatetest2, 13.822567
110, G4Bambootest3, 49.605965
45, G6Toweltest1, 4.683399
40, G9GreenVelvettest5, 5.120141
55, G9Jeanstest2, 8.507985
130, G2Marbletrain9, 8.323003
175, G4CompressedWoodVersion1train8, 11.604331
150, G4WoodenPapertrain8, 18.917409
160, G4Bambootest4, 12.807693
95, G4Larchtest3, 9.670897
45, G9TextileVersion4train7, 5.42281
110, G4Larchtrain2, 15.701485
200, G2Bricktest3, 9.151086
180, G2StoneTileVersion3train2, 8.797437
100, G8GlitterPaperVersion1train8, 9.147986
130, G2Marbletest4, 18.618575
70, G8Papertrain8, 9.605936
80, G8GlitterPaperVersion2train2, 8.214825
145, G4Larchtrain6, 24.007494
110, G3StainlessSteeltest7, 13.183281
60, G9Jeanstest7, 9.894202
90, G9TableClothVersion2test4, 33.683675
35, G6Toweltest5, 12.504953
90, G9TableClothVersion2train9, 10.19539
110, G2Marbletrain5, 125.075234
190, G4CompressedWoodVersion1train9, 13.750942
210, G4ProfiledWoodPlatetrain4, 9.352156
45, G6Carpettrain4, 9.189578
75, G9TextileVersion3test6, 18.049858
140, G4LaminatedWoodtest2, 11.564568
120, G2CrushedRocktrain5, 9.213165
35, G9RedVelvettrain1, 11.295306
190, G4CompressedWoodVersion1test4, 9.714126
110, G3Coppertest1, 8.335969
90, G9TableClothVersion2train6, 7.650404
80, G3Brasstest3, 7.043025
110, G3AluminumPlatetest3, 13.513342
40, G9GreenVelvettrain9, 5.972946
100, G4Bambootrain1, 8.366185
180, G4CompressedWoodVersion1test1, 13.133837
170, G2Marbletrain3, 7.962916
220, G2StoneTileVersion1train1, 8.469897
140, G4WoodenPapertest4, 141.868969
110, G3StainlessSteeltrain1, 6.064793
120, G3StainlessSteeltrain7, 7.373397
95, G9TableClothVersion2train3, 9.172547
210, G2StoneTileVersion1test1, 5.230024
50, G6Toweltrain3, 13.829073
45, G6Carpettest6, 10.847443
90, G3Coppertest7, 7.110787
100, G3Coppertest4, 5.840734
130, G3Brasstrain3, 6.246319
150, G4WoodenPapertest3, 6.928953
80, G8Papertrain6, 20.111936
200, G4CompressedWoodVersion1train3, 11.139036
210, G2StoneTileVersion2train1, 4.544115
220, G2StoneTileVersion2train2, 4.932976
120, G3Brasstrain2, 4.814192
170, G2CrushedRocktest1, 6.258734
190, G4LaminatedWoodtrain4, 5.29952
180, G2Bricktrain2, 5.899669
110, G3Coppertrain4, 9.804431
50, G9TextileVersion4train9, 3.787777
140, G4Bambootest1, 7.579714
160, G4WoodenPapertest5, 4.748706
100, G3Brasstest2, 5.469819
55, G9RedFleezetrain4, 5.130294
50, G8Papertest1, 8.829889
170, G2StoneTileVersion3train5, 8.582573
130, G3StainlessSteeltrain2, 7.686824
180, G2StoneTileVersion3test6, 12.671955
145, G2CrushedRocktest4, 16.891764
40, G6Toweltest3, 7.556373
130, G4WoodenPapertrain2, 8.850641
160, G4Teaktrain8, 7.110831
170, G4WoodenPapertrain7, 101.969439
90, G9TextileVersion3train1, 5.962089
40, G6Toweltest2, 6.401012
170, G2CrushedRocktrain1, 9.129903
200, G2StoneTileVersion2train5, 7.081351
80, G9Jeanstrain3, 11.79475
100, G8GlitterPaperVersion2train3, 8.639984
110, G8GlitterPaperVersion2train7, 5.94674
190, G4CherryTreetrain4, 6.778147
210, G1ProfiledAluminumPlatetrain7, 8.108785
60, G8Papertest5, 44.708553
170, G2Marbletest1, 7.967564
190, G4CherryTreetest4, 5.530224
210, G1ProfiledAluminumPlatetest4, 4.039474
80, G9TableClothVersion2train1, 24.284706
180, G4CherryTreetest5, 8.775178
170, G4Larchtrain9, 13.95384
100, G8GlitterPaperVersion2test7, 9.862556
130, G4Bambootest2, 20.48396
180, G2Bricktest7, 20.508405
200, G4Teaktrain9, 4.870271
120, G3Brasstrain9, 21.541082
50, G6Toweltrain9, 19.47463
160, G4Bambootrain7, 6.060227
