rating, material, time_in_seconds
70, G2StoneTileVersion3test7, 78.577774
40, G9TableClothVersion2train5, 10.473885
10, G8PlayingCardPapertrain4, 7.888822
30, G8GlitterPaperVersion1train3, 7.745462
5, G9TextileVersion4test7, 9.981949
80, G2Marbletest1, 8.957798
90, G2StoneTileVersion2test1, 7.480118
70, G4CherryTreetrain4, 23.085288
100, G2StoneTileVersion1train4, 8.449554
50, G4Bambootest3, 7.49972
140, G4ProfiledWoodPlatetrain9, 10.217702
100, G4LaminatedWoodtrain5, 5.231511
20, G9TextileVersion3train7, 8.368357
70, G4Larchtest3, 5.566577
30, G9GreenVelvettest4, 9.918221
30, G9GreenVelvettest5, 4.717112
65, G4Larchtrain6, 15.149741
40, G8RoughPapertest2, 7.046037
20, G3AluminumPlatetest2, 6.583044
130, G2CrushedRocktrain4, 4.920888
80, G4WoodenPapertest2, 8.653161
100, G4Teaktrain1, 5.444827
30, G3Brasstest2, 14.254428
60, G8Papertrain9, 6.115889
80, G2StoneTileVersion2train3, 6.135769
130, G4LaminatedWoodtrain7, 11.76415
150, G4Teaktest1, 12.082974
40, G6Carpettest5, 7.601282
90, G2Marbletrain1, 7.686186
20, G6Toweltrain5, 5.950418
10, G8PlayingCardPapertest3, 4.201588
170, G2CrushedRocktrain6, 6.829232
30, G8GlitterPaperVersion1train2, 7.171029
130, G4Bambootest1, 9.300932
60, G9RedVelvettrain9, 5.18324
150, G2StoneTileVersion1test1, 6.577303
120, G4LaminatedWoodtest7, 11.606939
50, G9RedVelvettrain8, 9.434566
130, G4LaminatedWoodtrain9, 6.04747
20, G8PlayingCardPapertrain7, 11.630408
200, G1ProfiledAluminumPlatetrain4, 7.257688
40, G9TextileVersion3test2, 10.809699
140, G4LaminatedWoodtest2, 11.221907
50, G9TextileVersion4train4, 4.283505
35, G8GlitterPaperVersion1train5, 8.762676
25, G3StainlessSteeltrain6, 6.288054
130, G4CompressedWoodVersion1train6, 17.301822
60, G9TextileVersion3test4, 9.983254
170, G4CompressedWoodVersion1train8, 7.512719
160, G2StoneTileVersion2train5, 7.899341
180, G4Bambootest4, 7.801362
190, G4Teaktest6, 6.406401
50, G6Carpettrain3, 10.344723
130, G4Bambootrain2, 9.200739
60, G8RoughPapertrain3, 10.036966
150, G4Larchtest2, 10.952488
180, G4CompressedWoodVersion1test7, 7.116503
170, G2StoneTileVersion2train7, 7.834793
130, G4Bambootrain9, 5.316964
50, G3StainlessSteeltrain4, 17.560661
50, G3StainlessSteeltrain3, 4.188027
60, G8RoughPapertest6, 5.98261
30, G8PlayingCardPapertrain5, 4.84802
180, G2StoneTileVersion2train4, 5.235949
170, G4Larchtrain5, 4.28061
180, G2StoneTileVersion1train6, 3.772774
190, G2Bricktrain8, 4.061101
80, G9TableClothVersion2train6, 5.605608
40, G9Jeanstest3, 8.077948
30, G9GreenVelvettrain7, 4.588051
30, G8GlitterPaperVersion2train5, 6.984648
100, G4LaminatedWoodtrain3, 5.166269
90, G8Papertrain8, 9.101799
55, G9Jeanstest1, 6.967985
60, G9TextileVersion4test4, 5.810311
55, G8GlitterPaperVersion1test2, 4.839143
20, G3StainlessSteeltrain8, 6.878403
70, G9RedVelvettrain5, 6.220773
40, G9GreenVelvettrain1, 5.033376
180, G4CompressedWoodVersion1train5, 5.150461
80, G9TextileVersion3train4, 5.647963
190, G2StoneTileVersion2test2, 4.921024
200, G2CrushedRocktrain3, 3.994606
220, G4CherryTreetrain5, 10.353873
170, G4Teaktrain9, 5.383893
40, G8GlitterPaperVersion1test1, 12.017814
190, G4Teaktrain7, 4.23395
220, G2Bricktrain3, 4.734863
160, G4Teaktrain8, 4.012727
60, G9TextileVersion4train2, 6.315309
80, G8GlitterPaperVersion1train9, 8.271215
100, G2Marbletest4, 7.664537
110, G9TableClothVersion2test7, 6.381467
