rating, material, time_in_seconds
30, G4Larchtest7, 24.048543
50, G2StoneTileVersion2test2, 10.797688
45, G2StoneTileVersion2train8, 16.549874
60, G4CherryTreetrain3, 10.399984
10, G2Marbletrain4, 9.075875
80, G2CrushedRocktrain2, 12.250793
80, G2CrushedRocktrain6, 7.768633
15, G9TableClothVersion2test6, 14.849334
40, G4CherryTreetest7, 15.548129
30, G4Teaktrain7, 21.664444
5, G3StainlessSteeltrain6, 6.194897
13, G9RedVelvettrain6, 22.506662
20, G4Teaktrain3, 13.004859
12, G9TextileVersion4test4, 13.506188
3, G8PlayingCardPapertest7, 11.461348
2, G9GreenVelvettest3, 9.02718
4, G8PlayingCardPapertest5, 9.704496
90, G2StoneTileVersion1test1, 5.708089
18, G9Jeanstrain6, 9.755646
17, G9Jeanstest2, 6.363465
3, G8PlayingCardPapertrain5, 7.092164
80, G2CrushedRocktest3, 5.796671
10, G3AluminumPlatetrain8, 12.677927
40, G2Bricktest3, 9.974331
15, G9TextileVersion4train6, 4.115962
13, G9TextileVersion4test6, 6.800095
15, G9TableClothVersion2train1, 9.272592
17, G8RoughPapertrain1, 11.121438
13, G8GlitterPaperVersion2test5, 23.040886
50, G4CompressedWoodVersion1test7, 25.309588
48, G4CompressedWoodVersion1train4, 9.076142
15, G4Bambootrain1, 29.473543
8, G9RedFleezetest2, 6.872435
50, G4CompressedWoodVersion1test1, 10.863515
48, G4CompressedWoodVersion1train6, 9.088452
5, G3Coppertrain5, 9.784218
25, G4CherryTreetrain5, 15.207183
20, G8GlitterPaperVersion1train3, 15.953014
13, G9RedVelvettrain5, 5.186343
13, G8RoughPapertest4, 9.455403
8, G3Coppertest2, 12.206777
15, G6Toweltest2, 10.69844
5, G8Papertrain5, 7.944763
25, G4LaminatedWoodtest4, 5.527129
20, G9RedFleezetrain1, 7.792231
10, G3AluminumPlatetrain2, 4.655303
25, G9TextileVersion3train1, 8.465025
10, G3AluminumPlatetrain7, 3.635468
40, G6Carpettest4, 7.381127
40, G6Carpettrain2, 9.01786
60, G2Bricktrain8, 7.545477
15, G9RedVelvettrain3, 6.018803
70, G2StoneTileVersion1train7, 8.039742
13, G9GreenVelvettrain2, 15.660194
20, G6Toweltest6, 4.674937
15, G9RedFleezetest1, 10.458413
40, G4LaminatedWoodtest5, 4.324249
60, G4CherryTreetrain2, 4.557352
60, G4CherryTreetrain1, 3.862811
10, G3Brasstest1, 36.078549
16, G9GreenVelvettrain1, 10.380231
45, G4CherryTreetrain9, 7.382165
60, G1ProfiledAluminumPlatetest4, 17.064178
20, G6Toweltest5, 4.351744
13, G9RedFleezetrain3, 6.7858
40, G4Larchtrain3, 9.336994
20, G8Papertest2, 22.048249
65, G2StoneTileVersion2test3, 7.00846
50, G2CrushedRocktest1, 8.720781
45, G2StoneTileVersion3train7, 12.530688
30, G2Marbletest2, 13.782904
30, G2StoneTileVersion3test2, 78.326748
100, G4ProfiledWoodPlatetest4, 11.35851
70, G1ProfiledAluminumPlatetrain7, 4.936678
50, G2StoneTileVersion3test4, 4.659085
18, G9Jeanstest6, 8.246129
60, G2CrushedRocktest2, 5.762439
15, G9RedVelvettrain2, 8.765163
25, G9TableClothVersion2train5, 5.833595
2, G8PlayingCardPapertrain6, 7.96181
40, G4CherryTreetest3, 5.689003
60, G2Bricktrain1, 8.863431
70, G2StoneTileVersion2test7, 8.098024
20, G6Toweltrain9, 5.051849
8, G9TextileVersion3train3, 8.272062
10, G3AluminumPlatetest4, 6.607785
22, G4Bambootrain2, 18.534114
50, G4CompressedWoodVersion1train2, 4.942056
10, G3AluminumPlatetrain4, 3.874913
3, G8PlayingCardPapertest1, 5.688072
40, G2StoneTileVersion3train6, 4.233943
15, G6Toweltrain8, 11.561229
70, G2StoneTileVersion1train6, 7.169896
50, G2CrushedRocktrain4, 4.586212
35, G9TableClothVersion2train9, 6.882331
40, G4Teaktrain4, 6.29838
18, G9RedFleezetest7, 5.389024
10, G3StainlessSteeltrain1, 5.065409
15, G9GreenVelvettrain6, 14.398914
55, G4CompressedWoodVersion1train9, 7.6517
20, G8RoughPapertrain8, 9.200388
18, G9Jeanstrain5, 6.060076
25, G9RedFleezetest3, 6.332272
15, G6Toweltrain5, 6.57268
45, G2Bricktest4, 8.728246
30, G4Larchtest5, 12.454322
45, G4LaminatedWoodtest3, 6.25218
40, G4Larchtest2, 3.207512
25, G8RoughPapertest7, 4.738955
10, G3AluminumPlatetrain3, 3.045573
15, G8RoughPapertrain3, 5.957686
5, G3Brasstest2, 10.246112
20, G9TableClothVersion2train8, 10.472019
18, G9Jeanstest3, 7.071822
15, G8RoughPapertest1, 4.633752
50, G4CompressedWoodVersion1train5, 4.826793
19, G9RedFleezetrain8, 10.396107
70, G4ProfiledWoodPlatetest2, 6.385295
7, G9RedVelvettest2, 9.933434
65, G2StoneTileVersion2test4, 6.141578
2, G8PlayingCardPapertrain4, 7.271945
10, G3StainlessSteeltest2, 5.655833
11, G9TextileVersion3train2, 12.566529
60, G4CherryTreetest1, 3.611952
6, G9RedVelvettest6, 6.232924
4, G9GreenVelvettest4, 6.784115
11, G9GreenVelvettrain9, 6.165541
30, G4Bambootest7, 14.789363
25, G4WoodenPapertest6, 11.069283
12, G6Toweltest7, 8.78641
8, G3Brasstest3, 7.057844
50, G4CherryTreetest2, 4.663307
17, G9TextileVersion4train1, 8.463848
15, G6Toweltrain1, 8.55058
12, G9RedVelvettrain9, 7.211463
40, G4Teaktest2, 6.295657
60, G2Bricktrain7, 3.4078
25, G2Marbletest3, 16.824632
35, G4Larchtrain1, 7.091514
23, G8GlitterPaperVersion1test2, 15.978227
10, G3AluminumPlatetest1, 13.064853
40, G4LaminatedWoodtrain2, 3.309558
20, G9Jeanstest4, 8.767715
40, G4Teaktest4, 175.019068
7, G8Papertrain9, 13.155301
25, G3AluminumPlatetrain5, 6.303724
40, G4Teaktest6, 8.483263
40, G8GlitterPaperVersion2train8, 34.669089
20, G3AluminumPlatetest6, 14.680003
